timestamp,cpu,memory,disk
1742709566.0256307,50.0,50.2,76.2
1742709568.0287335,0.0,50.3,76.2
1742709570.0261388,0.0,50.5,76.2
1742709572.024843,0.0,50.4,76.2
1742709574.0266871,0.0,50.5,76.2
1742709576.0399077,0.0,50.8,76.2
